M2|done|90.00|185|0|     228.315075
M3|done|90.00|186|0|     228.324474
S1|D: 0.271m,0066|187|228.923644|15.0000000|90.0000000
S2|D: 0.301m,0046|188|228.928663|215.0000000|90.0000000
M2|done|75.00|189|0|     229.215890
M3|done|75.00|190|0|     229.224807
S1|D: 0.285m,0057|191|229.824510|15.0000000|75.0000000
S2|D: 0.316m,0044|192|229.828512|215.0000000|75.0000000
M2|done|60.00|193|0|     230.114738
M3|done|60.00|194|0|     230.115590
S1|D: 0.312m,0065|195|230.715617|15.0000000|60.0000000
S2|D: 0.357m,0050|196|230.718705|215.0000000|60.0000000
M2|done|45.00|197|0|     231.004956
M3|done|45.00|198|0|     231.006611
S2|D: 0.437m,0075|200|231.609661|215.0000000|45.0000000
S1|D: 0.366m,0089|199|231.983962|15.0000000|45.0000000
M3|done|30.00|202|0|     232.271739
M2|done|30.00|201|0|     232.270570
S1|D: 0.480m,0115|203|233.250633|15.0000000|30.0000000
S2|D: 0.599m,0119|204|233.260525|215.0000000|30.0000000
M2|done|15.00|205|0|     233.547069
M3|done|15.00|206|0|     233.547514
S2|D: 0.556m,0077|208|234.152678|215.0000000|15.0000000
S1|D: 0.577m,0109|207|234.526078|15.0000000|15.0000000
M2|done|0.00|209|1|     234.812571
M3|done|0.00|210|1|     234.817809
S1|D: 0.540m,0094|211|235.417634|15.0000000| 0.0000000
S2|D: 0.532m,0052|212|235.423877|215.0000000| 0.0000000
M1|done|20.00|213|0|     235.869735
S1|D: 0.539m,0080|214|236.469936|20.0000000| 0.0000000
S2|D: 0.532m,0061|215|236.604558|220.0000000| 0.0000000
M2|done|0.00|216|1|     236.605521
M3|done|0.00|217|1|     236.606451
S1|D: 0.539m,0088|218|237.205220|20.0000000| 0.0000000
S2|D: 0.533m,0065|219|237.214863|220.0000000| 0.0000000
M2|done|15.00|220|0|     237.501075
M3|done|15.00|221|0|     237.505647
S2|D: 0.556m,0078|223|238.115643|220.0000000|15.0000000
S1|D: 0.576m,0095|222|238.483760|20.0000000|15.0000000
M3|done|30.00|225|0|     238.771254
M2|done|30.00|224|0|     238.770817
S1|D: 0.477m,0134|226|239.751081|20.0000000|30.0000000
S2|D: 0.598m,0126|227|239.755655|220.0000000|30.0000000
M2|done|45.00|228|0|     240.041978
M3|done|45.00|229|0|     240.043707
S1|D: 0.363m,0092|230|241.021269|20.0000000|45.0000000
S2|D: 0.435m,0094|231|240.645719|220.0000000|45.0000000
M2|done|60.00|232|0|     241.308505
M3|done|60.00|233|0|     241.314073
S1|D: 0.308m,0059|234|241.913663|20.0000000|60.0000000
S2|D: 0.356m,0050|235|241.916488|220.0000000|60.0000000
M2|done|75.00|236|0|     242.202774
M3|done|75.00|237|0|     242.209671
S1|D: 0.283m,0052|238|242.809499|20.0000000|75.0000000
S2|D: 0.315m,0045|239|242.816876|220.0000000|75.0000000
M2|done|90.00|240|0|     243.103177
M3|done|90.00|241|0|     243.110632
S1|D: 0.268m,0053|242|243.710438|20.0000000|90.0000000
S2|D: 0.299m,0041|243|243.716705|220.0000000|90.0000000
M2|done|105.00|244|0|     244.003016
M3|done|105.00|245|0|     244.012623
S1|D: 0.270m,0053|246|244.612555|20.0000000|105.0000000
S2|D: 0.303m,0053|247|244.616564|220.0000000|105.0000000
M2|done|120.00|248|0|     244.902912
M3|done|120.00|249|0|     244.905873
S1|D: 0.290m,0076|250|245.505661|20.0000000|120.0000000
S2|D: 0.325m,0049|251|245.506713|220.0000000|120.0000000
M2|done|135.00|252|0|     245.793147
M3|done|135.00|253|0|     245.801625
S1|D: 0.335m,0075|254|246.401616|20.0000000|135.0000000
S2|D: 0.374m,0079|255|246.406690|220.0000000|135.0000000
M2|done|150.00|256|0|     246.692963
M3|done|150.00|257|0|     246.702846
S2|D: 0.318m,0066|259|247.308638|220.0000000|150.0000000
S1|D: 0.091m,0302|258|248.439668|20.0000000|150.0000000
M2|done|165.00|260|0|     248.726498
M3|done|165.00|261|1|     248.733053
M1|done|25.00|262|0|     248.896513
S2|D: 0.094m,0056|264|249.500563|225.0000000|165.0000000
S1|D: 0.074m,0241|263|250.633071|25.0000000|165.0000000
M2|done|165.00|265|0|     250.633871
M3|done|165.00|266|1|     250.637515
S2|D: 0.095m,0082|268|251.246646|225.0000000|165.0000000
S1|D: 0.074m,0259|267|252.374040|25.0000000|165.0000000
M2|done|150.00|269|0|     252.660449
M3|done|150.00|270|0|     252.661628
S2|D: 0.316m,0071|272|253.268643|225.0000000|150.0000000
S1|D: 0.092m,0138|271|254.397464|25.0000000|150.0000000
M2|done|135.00|273|0|     254.684183
M3|done|135.00|274|0|     254.692725
S1|D: 0.337m,0099|275|255.291640|25.0000000|135.0000000
S2|D: 0.375m,0061|276|255.299878|225.0000000|135.0000000
M2|done|120.00|277|0|     255.586120
M3|done|120.00|278|0|     255.592539
S1|D: 0.291m,0058|279|256.191807|25.0000000|120.0000000
S2|D: 0.326m,0057|280|256.200594|225.0000000|120.0000000
M2|done|105.00|281|0|     256.488663
M3|done|105.00|282|0|     256.495125
S1|D: 0.271m,0049|283|257.095590|25.0000000|105.0000000
S2|D: 0.303m,0050|284|257.100812|225.0000000|105.0000000
M2|done|90.00|285|0|     257.387234
M3|done|90.00|286|0|     257.396069
S1|D: 0.266m,0067|287|257.995658|25.0000000|90.0000000
S2|D: 0.300m,0044|288|258.002765|225.0000000|90.0000000
M2|done|75.00|289|0|     258.289146
M3|done|75.00|290|0|     258.294979
S1|D: 0.281m,0071|291|258.895652|25.0000000|75.0000000
S2|D: 0.315m,0046|292|258.902635|225.0000000|75.0000000
M2|done|60.00|293|0|     259.188986
M3|done|60.00|294|0|     259.199703
S2|D: 0.355m,0064|296|259.803495|225.0000000|60.0000000
S1|D: 0.306m,0086|295|260.177802|25.0000000|60.0000000
M2|done|45.00|297|0|     260.464248
M3|done|45.00|298|0|     260.471609
S2|D: 0.435m,0088|300|261.077667|225.0000000|45.0000000
S1|D: 0.361m,0094|299|261.449687|25.0000000|45.0000000
M2|done|30.00|301|0|     261.736641
M3|done|30.00|302|0|     261.744737
S1|D: 0.469m,0135|303|262.722814|25.0000000|30.0000000
S2|D: 0.594m,0135|304|262.728677|225.0000000|30.0000000
M2|done|15.00|305|0|     263.015168
M3|done|15.00|306|0|     263.019612
S2|D: 0.555m,0072|308|263.628648|225.0000000|15.0000000
S1|D: 0.576m,0103|307|263.997596|25.0000000|15.0000000
